                  Words      Mean #Total #Positive #Neg   PosMean   NegMean
88              enjoyed  0.468327      1         1    0  0.468327  0.000000
280                CNNs  0.352612      1         1    0  0.352612  0.000000
460            resubmit -0.285987      1         0    1  0.000000 -0.285987
285           community  0.227410      1         1    0  0.227410  0.000000
202             limited -0.226057      3         0    3  0.000000 -0.226057
347     experimentation -0.215277      1         0    1  0.000000 -0.215277
152                   3 -0.213521      2         0    2  0.000000 -0.213521
114            workshop -0.192450      2         0    2  0.000000 -0.192450
101        applications -0.188479      1         0    1  0.000000 -0.188479
264              poster  0.184690      2         2    0  0.184690  0.000000
236               topic  0.178506      1         1    0  0.178506  0.000000
304         Variational  0.177840      1         1    0  0.177840  0.000000
433              limits -0.176194      1         0    1  0.000000 -0.176194
318            although -0.173297      1         0    1  0.000000 -0.173297
19                  not -0.172712     19         0   19  0.000000 -0.172712
252               sound  0.171505      2         2    0  0.171505  0.000000
306                none -0.170990      1         0    1  0.000000 -0.170990
212            accepted  0.170438      2         2    0  0.170438  0.000000
305             Dropout  0.166929      2         2    0  0.166929  0.000000
179            ImageNet  0.165552      1         1    0  0.165552  0.000000
161              agents  0.157234      1         1    0  0.157234  0.000000
225             justify -0.154383      1         0    1  0.000000 -0.154383
227           baselines  0.154095      2         2    0  0.154095  0.000000
426          generative  0.153904      1         1    0  0.153904  0.000000
296           advantage  0.148927      1         1    0  0.148927  0.000000
451       unfortunately -0.147005      1         0    1  0.000000 -0.147005
173               video  0.142433      1         1    0  0.142433  0.000000
406              review -0.140602      1         0    1  0.000000 -0.140602
337             solvers  0.139650      1         1    0  0.139650  0.000000
22                Three -0.137084      3         0    3  0.000000 -0.137084
357               tasks -0.135044      1         0    1  0.000000 -0.135044
226                 use -0.134904      1         0    1  0.000000 -0.134904
399           confident  0.134154      1         1    0  0.134154  0.000000
286      generalisation  0.133246      1         1    0  0.133246  0.000000
137          supervised  0.131359      2         2    0  0.131359  0.000000
348             promise -0.130090      1         0    1  0.000000 -0.130090
358              raised  0.129827      1         1    0  0.129827  0.000000
400       understanding  0.124986      1         1    0  0.124986  0.000000
237              Timely -0.123250      1         0    1  0.000000 -0.123250
63               reject -0.122286      1         0    1  0.000000 -0.122286
174      unsatisfactory -0.120492      1         0    1  0.000000 -0.120492
242                 yet -0.120328      1         0    1  0.000000 -0.120328
245               mixed -0.120210      1         0    1  0.000000 -0.120210
287                shot  0.119504      1         1    0  0.119504  0.000000
360             propose -0.119254      1         0    1  0.000000 -0.119254
112                 how  0.116720      3         3    0  0.116720  0.000000
34            rejection -0.116050      4         0    4  0.000000 -0.116050
164                Good  0.113603      3         3    0  0.113603  0.000000
117                thus -0.113196      2         0    2  0.000000 -0.113196
308            Salimans -0.111243      1         0    1  0.000000 -0.111243
113            provided  0.111128      1         1    0  0.111128  0.000000
401                goal -0.111071      1         0    1  0.000000 -0.111071
51         reservations -0.110317      1         0    1  0.000000 -0.110317
189                will  0.110043      4         4    0  0.110043  0.000000
297                RNNs  0.109035      1         1    0  0.109035  0.000000
307                2015  0.108947      2         2    0  0.108947  0.000000
439              player  0.108711      1         1    0  0.108711  0.000000
447          commercial  0.106077      1         1    0  0.106077  0.000000
402          acceptance  0.104910      1         1    0  0.104910  0.000000
115           amortized  0.104412      1         1    0  0.104412  0.000000
298              expert -0.104209      1         0    1  0.000000 -0.104209
240              models  0.103727      2         2    0  0.103727  0.000000
299        demonstrates  0.103120      1         1    0  0.103120  0.000000
375         activations  0.103074      1         1    0  0.103074  0.000000
163          formalized  0.100830      1         1    0  0.100830  0.000000
235                  no -0.100746      2         0    2  0.000000 -0.100746
154                meet -0.100442      1         0    1  0.000000 -0.100442
104             clearly  0.098484      2         2    0  0.098484  0.000000
253           satisfied  0.097510      1         1    0  0.097510  0.000000
361        insufficient -0.096911      2         0    2  0.000000 -0.096911
350             written -0.096272      1         0    1  0.000000 -0.096272
180        quantization  0.096251      2         2    0  0.096251  0.000000
20            recommend -0.096166      4         1    3  0.067676 -0.150779
300           technical  0.095613      1         1    0  0.095613  0.000000
339             compare -0.094794      1         0    1  0.000000 -0.094794
172             results -0.094346      6         1    5  0.102146 -0.133645
293          conference  0.093539      4         4    0  0.093539  0.000000
190        environments  0.093421      1         1    0  0.093421  0.000000
238                 NLP  0.093251      1         1    0  0.093251  0.000000
309               Trick  0.092974      1         1    0  0.092974  0.000000
191                   t  0.092965      1         1    0  0.092965  0.000000
24                 post  0.092440      1         1    0  0.092440  0.000000
294            interest -0.092268      2         1    1  0.022520 -0.207056
362            evaluate  0.092264      1         1    0  0.092264  0.000000
116           inference  0.091877      1         1    0  0.091877  0.000000
89                LSTMs  0.091812      2         2    0  0.091812  0.000000
351          artificial -0.091589      1         0    1  0.000000 -0.091589
340         Blendenpick  0.091326      1         1    0  0.091326  0.000000
310             uncited -0.090622      1         0    1  0.000000 -0.090622
344                 art  0.090618      2         2    0  0.090618  0.000000
0                future -0.090523      2         1    1  0.086065 -0.267111
341                   g -0.089683      1         0    1  0.000000 -0.089683
311             closely  0.089067      1         1    0  0.089067  0.000000
50                  was  0.088981      2         2    0  0.088981  0.000000
342             setting  0.088970      3         3    0  0.088970  0.000000
228         comparisons -0.087841      1         0    1  0.000000 -0.087841
427            somewhat -0.087507      1         0    1  0.000000 -0.087507
64                 ICLR  0.087276      6         6    0  0.087276  0.000000
434            datasets -0.086804      1         0    1  0.000000 -0.086804
7              proposes -0.086481      3         0    3  0.000000 -0.086481
288          positively  0.085972      1         1    0  0.085972  0.000000
90                 than  0.085968      1         1    0  0.085968  0.000000
5               revised -0.085869      2         0    2  0.000000 -0.085869
461              Chairs  0.085778      1         1    0  0.085778  0.000000
119                   I -0.085502      7         1    6  0.044159 -0.107113
44               issues  0.085347      3         3    0  0.085347  0.000000
448               below -0.084563      1         0    1  0.000000 -0.084563
49             reviewer  0.084024      5         3    2  0.181280 -0.061860
359          unsuitable -0.084024      2         0    2  0.000000 -0.084024
21             rebuttal -0.083641      2         0    2  0.000000 -0.083641
211                  or -0.083537      3         0    3  0.000000 -0.083537
349           important -0.083503      2         0    2  0.000000 -0.083503
229           difficult -0.083473      1         0    1  0.000000 -0.083473
162                nice  0.083311      2         2    0  0.083311  0.000000
319               track  0.083222      1         1    0  0.083222  0.000000
66                makes  0.082933      1         1    0  0.082933  0.000000
407              period -0.082913      1         0    1  0.000000 -0.082913
133                well  0.082203      7         7    0  0.082203  0.000000
203             siamese  0.082080      1         1    0  0.082080  0.000000
230        suspiciously -0.081729      1         0    1  0.000000 -0.081729
12                 deep  0.081606      5         5    0  0.081606  0.000000
254           piecewise  0.081543      1         1    0  0.081543  0.000000
289          contribute  0.081462      1         1    0  0.081462  0.000000
239          surprising -0.081396      1         0    1  0.000000 -0.081396
408             minimal -0.081309      1         0    1  0.000000 -0.081309
352          embeddings  0.080799      1         1    0  0.080799  0.000000
68                  lot -0.080640      1         0    1  0.000000 -0.080640
55          submissions  0.080535      1         1    0  0.080535  0.000000
153                 out  0.079681      2         2    0  0.079681  0.000000
312                 Max  0.079433      1         1    0  0.079433  0.000000
376          quantizing  0.079232      1         1    0  0.079232  0.000000
449               falls -0.079111      1         0    1  0.000000 -0.079111
65                seems -0.078943      3         0    3  0.000000 -0.078943
353              priori -0.078823      1         0    1  0.000000 -0.078823
33                 work -0.078755      6         1    5  0.061659 -0.106838
409              during  0.078463      1         1    0  0.078463  0.000000
6                result -0.078384      1         0    1  0.000000 -0.078384
301            creative  0.078139      1         1    0  0.078139  0.000000
1               However -0.077954      5         0    5  0.000000 -0.077954
105            specific -0.077886      1         0    1  0.000000 -0.077886
48                  did  0.077677      2         1    1  0.174194 -0.018840
338             current -0.077322      3         0    3  0.000000 -0.077322
410           surprised -0.076498      1         0    1  0.000000 -0.076498
290              nicely  0.076170      1         1    0  0.076170  0.000000
106              mostly -0.076024      1         0    1  0.000000 -0.076024
27       recommendation -0.075740      1         0    1  0.000000 -0.075740
54           operations  0.075639      2         2    0  0.075639  0.000000
165              simple  0.074691      3         3    0  0.074691  0.000000
107                 SGD  0.074591      1         1    0  0.074591  0.000000
313             Welling  0.073830      1         1    0  0.073830  0.000000
59                 Cons  0.073661      4         4    0  0.073661  0.000000
343         formulation  0.073472      2         2    0  0.073472  0.000000
192               venue  0.072601      1         1    0  0.072601  0.000000
140         conditional  0.072453      1         1    0  0.072453  0.000000
255           framework  0.071684      1         1    0  0.071684  0.000000
421                 isn -0.071639      1         0    1  0.000000 -0.071639
403               score  0.071363      1         1    0  0.071363  0.000000
16          experiments  0.070893      2         2    0  0.070893  0.000000
411              latent  0.070873      1         1    0  0.070873  0.000000
194               doesn  0.070816      1         1    0  0.070816  0.000000
193             present -0.070428      3         0    3  0.000000 -0.070428
404            provides  0.070051      1         1    0  0.070051  0.000000
87                   be -0.069703      8         0    8  0.000000 -0.069703
4                    of -0.069455     24         2   22  0.027151 -0.078238
155                 can  0.069213      1         1    0  0.069213  0.000000
23                 main  0.069164      2         2    0  0.069164  0.000000
81             thorough  0.069043      2         2    0  0.069043  0.000000
9               version  0.069038      1         1    0  0.069038  0.000000
200             pointed  0.068656      1         1    0  0.068656  0.000000
52                 Pros  0.068454      4         4    0  0.068454  0.000000
256         aggregation  0.068243      1         1    0  0.068243  0.000000
204              poorly -0.067899      1         0    1  0.000000 -0.067899
320              builds  0.067856      1         1    0  0.067856  0.000000
56              feeling  0.067535      1         1    0  0.067535  0.000000
273          diligently  0.067477      1         1    0  0.067477  0.000000
29                   AC  0.067297      1         1    0  0.067297  0.000000
175             quality  0.067233      1         1    0  0.067233  0.000000
57           benefitted  0.066954      1         1    0  0.066954  0.000000
74               papers -0.066409      2         0    2  0.000000 -0.066409
430                   s -0.066216      2         0    2  0.000000 -0.066216
314  Reparameterization  0.066057      1         1    0  0.066057  0.000000
