                 Words      Mean #Total #Positive #Neg     PosMean   NegMean
1113            Kolter  0.066496      1         1    0   0.0664955  0.000000
1062              AAAI  0.065381      1         1    0   0.0653814  0.000000
0                  not -0.064672     39         0   39           0 -0.064672
678      demonstration  0.059907      1         1    0   0.0599074  0.000000
176              Third -0.058973      1         0    1           0 -0.058973
361        efficiently  0.058147      1         1    0   0.0581473  0.000000
251             untrue -0.056085      1         0    1           0 -0.056085
515            CIFAR10  0.054629      1         1    0    0.054629  0.000000
707     transformation -0.051838      1         0    1           0 -0.051838
804              venue  0.051299      3         3    0   0.0512993  0.000000
5            recovered  0.050605      1         1    0   0.0506045  0.000000
1405           Huffman  0.046962      1         1    0   0.0469621  0.000000
465         Riemannian  0.045704      1         1    0    0.045704  0.000000
935              CIFAR  0.044765      4         4    0   0.0447647  0.000000
1268             arXiv  0.044568      1         1    0   0.0445679  0.000000
788       accompanying  0.043577      1         1    0   0.0435771  0.000000
1084          Extended  0.042631      1         1    0   0.0426312  0.000000
1114            Convex  0.042358      1         1    0   0.0423576  0.000000
797             github  0.042063      2         2    0   0.0420627  0.000000
561             traces  0.041475      1         1    0   0.0414746  0.000000
7         eigenspectra  0.041365      1         1    0   0.0413652  0.000000
1297         encourage  0.041141      2         2    0   0.0411408  0.000000
787               code  0.039917      7         7    0    0.039917  0.000000
1502             Movie  0.039417      1         1    0   0.0394165  0.000000
562       Asynchronous  0.038787      1         1    0   0.0387871  0.000000
563            crucial -0.038775      1         0    1           0 -0.038775
681          auxiliary -0.038679      1         0    1           0 -0.038679
682       investigated -0.038597      1         0    1           0 -0.038597
1431             makes  0.037901      1         1    0   0.0379006  0.000000
100              paper -0.037406     36         1   35  0.00850197 -0.038718
708          ICLRw2016  0.037346      1         1    0   0.0373464  0.000000
568    hyperparameters  0.036833      2         2    0   0.0368327  0.000000
180            discuss  0.036765      1         1    0   0.0367646  0.000000
518              DCGAN -0.036756      1         0    1           0 -0.036756
1          interesting  0.036418     27        27    0   0.0364183  0.000000
116               nice  0.036414     14        14    0   0.0364137  0.000000
560              games  0.036316      4         4    0   0.0363157  0.000000
683             Lample -0.035013      1         0    1           0 -0.035013
2                  the -0.034868     76         4   72   0.0119727 -0.037470
833       Significance  0.034602      2         2    0   0.0346023  0.000000
1324           seq2seq  0.034124      1         1    0   0.0341242  0.000000
1191         community  0.034069      3         3    0    0.034069  0.000000
420        perspective -0.034022      3         0    3           0 -0.034022
253             Thanks  0.033674      9         9    0   0.0336744  0.000000
571       investigates -0.033598      2         0    2           0 -0.033598
1063             Image  0.033562      1         1    0   0.0335623  0.000000
384         insightful  0.033429      2         2    0    0.033429  0.000000
965           uploaded  0.033102      1         1    0    0.033102  0.000000
684             narrow -0.032973      1         0    1           0 -0.032973
1064             Match  0.032894      1         1    0   0.0328943  0.000000
565              seeds  0.032809      1         1    0   0.0328088  0.000000
252                TSP -0.032762      1         0    1           0 -0.032762
524        adversarial  0.032579      2         2    0   0.0325794  0.000000
834                isn -0.032395      1         0    1           0 -0.032395
1200     investigation -0.032133      1         0    1           0 -0.032133
1201           patient  0.032131      1         1    0   0.0321308  0.000000
311            ribbons -0.032074      1         0    1           0 -0.032074
1503            vector -0.032052      1         0    1           0 -0.032052
520               SVGD -0.032018      1         0    1           0 -0.032018
757                VGG -0.031786      1         0    1           0 -0.031786
1087       encouraging  0.031696      2         2    0   0.0316958  0.000000
790                 Du -0.031521      1         0    1           0 -0.031521
1115                90 -0.031474      1         0    1           0 -0.031474
791              track  0.031393      1         1    0   0.0313927  0.000000
276      reinforcement  0.031050      7         7    0   0.0310502  0.000000
1360         relations -0.030877      1         0    1           0 -0.030877
1202           enjoyed  0.030710      1         1    0   0.0307099  0.000000
463                NLP -0.030561      2         1    1    0.009834 -0.070956
466          iteration  0.030553      1         1    0   0.0305533  0.000000
679             reward  0.030442      4         4    0   0.0304425  0.000000
148               your  0.030434      7         7    0   0.0304338  0.000000
33                  is -0.029878     38         6   32   0.0150403 -0.038300
31          conference  0.029698      6         6    0   0.0296981  0.000000
964           equation -0.029695      2         0    2           0 -0.029695
196               2016  0.029650      8         7    1    0.039077 -0.036338
312               runs  0.029362      1         1    0   0.0293623  0.000000
210             priors  0.029338      2         2    0   0.0293381  0.000000
871               body -0.029108      1         0    1           0 -0.029108
902            complex -0.028993      2         0    2           0 -0.028993
1432             found  0.028824      1         1    0   0.0288239  0.000000
836             tuning  0.028692      1         1    0   0.0286918  0.000000
368       optimisation  0.028423      1         1    0   0.0284227  0.000000
936              actor  0.028032      2         2    0    0.028032  0.000000
680         navigation -0.027879      2         0    2           0 -0.027879
792               JMLR -0.027653      1         0    1           0 -0.027653
1203           science -0.027429      1         0    1           0 -0.027429
369         limitation -0.027376      2         0    2           0 -0.027376
686                top  0.027336      1         1    0    0.027336  0.000000
654            address -0.027316      2         0    2           0 -0.027316
1296               Put  0.027278      1         1    0   0.0272782  0.000000
637      Unfortunately -0.027234      2         0    2           0 -0.027234
1504             going  0.027061      1         1    0    0.027061  0.000000
401              worse  0.026962      2         2    0   0.0269624  0.000000
638                GRU  0.026917      1         1    0   0.0269173  0.000000
1325            accept -0.026848      1         0    1           0 -0.026848
1000             Hence -0.026844      3         0    3           0 -0.026844
521           SteinGAN  0.026771      1         1    0   0.0267713  0.000000
1505          directed -0.026754      1         0    1           0 -0.026754
687             proven  0.026233      1         1    0   0.0262334  0.000000
370         intuitions  0.026168      1         1    0   0.0261682  0.000000
468            machine -0.026142      2         0    2           0 -0.026142
16         instructive  0.025965      2         2    0   0.0259645  0.000000
178              Added  0.025881     11        11    0   0.0258814  0.000000
464        theoretical -0.025547      3         0    3           0 -0.025547
967              LSTMs  0.025542      3         3    0   0.0255416  0.000000
291               lack -0.025527      5         0    5           0 -0.025527
6                   of -0.025503     36         2   34   0.0145999 -0.027862
310           settings  0.025467      3         3    0   0.0254666  0.000000
1204          analysed  0.025364      1         1    0   0.0253644  0.000000
469            elegant  0.025316      1         1    0   0.0253156  0.000000
839            limited -0.025200      3         0    3           0 -0.025200
711          dismissed -0.024984      1         0    1           0 -0.024984
603             PASCAL  0.024922      2         2    0   0.0249221  0.000000
1361            entity -0.024883      1         0    1           0 -0.024883
315          submitted  0.024850      1         1    0   0.0248496  0.000000
832            unclear -0.024845      3         0    3           0 -0.024845
1002            rather -0.024824      3         0    3           0 -0.024824
870           examples  0.024755      2         2    0   0.0247545  0.000000
1269          Dialogue  0.024734      1         1    0   0.0247337  0.000000
938           stopping  0.024630      1         1    0   0.0246302  0.000000
309        traditional -0.024596      2         0    2           0 -0.024596
1067      demonstrated  0.024540      1         1    0   0.0245402  0.000000
376     psychophysical  0.024367      1         1    0   0.0243668  0.000000
1088              2014  0.024360      2         2    0     0.02436  0.000000
837            dropout  0.024299      4         4    0   0.0242985  0.000000
1146          leverage  0.024241      1         1    0   0.0242411  0.000000
1362                KB -0.024124      1         0    1           0 -0.024124
402             random  0.024123      2         2    0   0.0241227  0.000000
758          splitting  0.024057      1         1    0   0.0240571  0.000000
1086               218  0.024009      1         1    0   0.0240091  0.000000
9       initialization  0.023969      2         2    0   0.0239693  0.000000
1406          explores -0.023963      1         0    1           0 -0.023963
1407            Coding -0.023932      1         0    1           0 -0.023932
602                GAN  0.023832      2         2    0   0.0238319  0.000000
1003            around  0.023791      1         1    0   0.0237909  0.000000
570        eligibility -0.023746      1         0    1           0 -0.023746
423        discussions  0.023722      1         1    0   0.0237215  0.000000
1506               yet -0.023694      1         0    1           0 -0.023694
904        groundtruth -0.023676      1         0    1           0 -0.023676
377            filters -0.023601      1         0    1           0 -0.023601
108                  A -0.023456     36         2   34  0.00806804 -0.025310
1507           revisit -0.023395      1         0    1           0 -0.023395
30       contributions  0.023382      3         3    0   0.0233818  0.000000
1453             being -0.023321      1         0    1           0 -0.023321
1433           privacy  0.023303      1         1    0   0.0233029  0.000000
901           backprop  0.023302      2         2    0   0.0233016  0.000000
572               bars  0.023300      1         1    0   0.0233003  0.000000
1199           medical  0.023184      2         2    0    0.023184  0.000000
1408       Compression -0.023170      1         0    1           0 -0.023170
835        Originality  0.023079      2         2    0   0.0230792  0.000000
635        Considering -0.022994      2         0    2           0 -0.022994
1033       recommender  0.022942      1         1    0   0.0229423  0.000000
467     hyperparameter  0.022919      2         2    0   0.0229192  0.000000
470          considers -0.022855      1         0    1           0 -0.022855
519         Generative  0.022812      3         3    0   0.0228115  0.000000
789          incorrect -0.022743      2         0    2           0 -0.022743
838       introduction  0.022730      1         1    0   0.0227298  0.000000
1339         Negatives -0.022701      1         0    1           0 -0.022701
905           sampling  0.022682      1         1    0   0.0226815  0.000000
1173             limit -0.022626      1         0    1           0 -0.022626
1326          strength  0.022591      1         1    0   0.0225908  0.000000
363                 do  0.022583      3         3    0   0.0225833  0.000000
486            vanilla  0.022514      4         4    0    0.022514  0.000000
872            welcome  0.022449      1         1    0   0.0224486  0.000000
24               batch  0.022440      5         5    0   0.0224403  0.000000
601                way  0.022437      3         3    0   0.0224375  0.000000
564           stronger -0.022377      2         0    2           0 -0.022377
378              model -0.022296     21         0   21           0 -0.022296
453             future  0.022284      5         4    1   0.0296108 -0.007024
604                 CC  0.022267      1         1    0   0.0222673  0.000000
472               sure  0.022223      2         2    0   0.0222234  0.000000
1226              typo -0.022199      1         0    1           0 -0.022199
906           arguably  0.022186      1         1    0   0.0221861  0.000000
1068         sentences  0.022079      1         1    0   0.0220787  0.000000
1147          speedups  0.021766      1         1    0   0.0217662  0.000000
968               EDIT  0.021743      1         1    0   0.0217432  0.000000
1034            unfair -0.021702      1         0    1           0 -0.021702
1243              Prop  0.021688      1         1    0   0.0216882  0.000000
1227            enable  0.021646      1         1    0   0.0216457  0.000000
317          expertise  0.021644      1         1    0   0.0216445  0.000000
1409     factorization  0.021603      1         1    0   0.0216031  0.000000
51                well  0.021592     11        10    1   0.0245697 -0.008187
576            benefit  0.021591      6         6    0   0.0215906  0.000000
1340           picking  0.021496      1         1    0   0.0214963  0.000000
523           rejected -0.021472      3         0    3           0 -0.021472
318          deviation  0.021364      1         1    0   0.0213639  0.000000
689         definition -0.021360      1         0    1           0 -0.021360
195      architectural -0.021328      2         0    2           0 -0.021328
794                 AI -0.021313      1         0    1           0 -0.021313
897             design -0.021298      2         0    2           0 -0.021298
367              based -0.021290     10         0   10           0 -0.021290
795           versions  0.021281      1         1    0   0.0212815  0.000000
969         outperform  0.021268      1         1    0   0.0212681  0.000000
1508             feels  0.021267      1         1    0   0.0212675  0.000000
328       applications -0.021252      3         0    3           0 -0.021252
21                plot  0.021206      1         1    0   0.0212064  0.000000
941         comparison  0.021204      3         3    0   0.0212043  0.000000
709              frame -0.021202      2         0    2           0 -0.021202
937        overfitting  0.021157      2         2    0   0.0211569  0.000000
640          subsubset -0.021112      1         0    1           0 -0.021112
605          concerned -0.021099      1         0    1           0 -0.021099
362              think  0.021065     15        15    0   0.0210654  0.000000
606                 64  0.021063      1         1    0   0.0210632  0.000000
1341       dimensional -0.021061      1         0    1           0 -0.021061
1509         inability -0.021019      1         0    1           0 -0.021019
607               semi  0.021008      1         1    0   0.0210083  0.000000
60                only -0.020999     19         0   19           0 -0.020999
1035       comparisons  0.020935      1         1    0   0.0209354  0.000000
759            grammar -0.020915      1         0    1           0 -0.020915
970        predictions  0.020869      1         1    0   0.0208685  0.000000
907     approximations  0.020757      1         1    0   0.0207569  0.000000
1117          ImageNet -0.020741      2         0    2           0 -0.020741
26                that -0.020655     26         0   26           0 -0.020655
1454             terms  0.020653      1         1    0   0.0206533  0.000000
365           baseline  0.020625      6         6    0   0.0206254  0.000000
190           Starting  0.020582      1         1    0   0.0205824  0.000000
641          criticize  0.020457      1         1    0   0.0204573  0.000000
366           thorough  0.020349      3         3    0   0.0203487  0.000000
939          discussed -0.020310      1         0    1           0 -0.020310
1148                96  0.020255      1         1    0   0.0202554  0.000000
1410           suggest  0.020204      1         1    0   0.0202041  0.000000
191            insight  0.020197      1         1    0   0.0201971  0.000000
1342            OpenAI  0.020167      1         1    0    0.020167  0.000000
313           comments  0.020167     13        12    1   0.0228822 -0.012420
1004   experimentation  0.020163      1         1    0    0.020163  0.000000
1197          consider -0.020104      3         0    3           0 -0.020104
873              exist -0.020086      1         0    1           0 -0.020086
1124     normalization -0.019913      3         0    3           0 -0.019913
972        highlighted  0.019900      2         2    0   0.0199004  0.000000
381               more -0.019870     13         2   11   0.0130784 -0.025861
206               ICLR -0.019827     11         3    8   0.0152386 -0.032977
380            Firstly -0.019800      1         0    1           0 -0.019800
476       optimization -0.019774      4         1    3   0.0171121 -0.032069
1090            nicely  0.019736      2         2    0   0.0197359  0.000000
909                big -0.019604      1         0    1           0 -0.019604
1455          meanings -0.019557      1         0    1           0 -0.019557
1456             vague -0.019548      1         0    1           0 -0.019548
760                 50  0.019527      1         1    0   0.0195267  0.000000
636                  p  0.019446      2         2    0   0.0194458  0.000000
1457             scale -0.019434      1         0    1           0 -0.019434
257       demonstrably  0.019432      1         1    0   0.0194319  0.000000
616           datasets  0.019428      4         3    1   0.0277978 -0.005683
387              quite  0.019418      5         5    0   0.0194181  0.000000
258            ignores -0.019350      1         0    1           0 -0.019350
254              close  0.019321      3         3    0   0.0193208  0.000000
647                bit  0.019275      3         3    0   0.0192753  0.000000
903          minibatch  0.019207      2         2    0   0.0192074  0.000000
471           word2vec  0.019137      2         2    0   0.0191373  0.000000
526        variational  0.019121      3         3    0   0.0191208  0.000000
527       insufficient -0.019093      1         0    1           0 -0.019093
874                fit -0.019038      1         0    1           0 -0.019038
10              points  0.019020      5         5    0   0.0190201  0.000000
323            targets -0.019015      1         0    1           0 -0.019015
643           resource -0.019007      1         0    1           0 -0.019007
289             cannot -0.019001      5         0    5           0 -0.019001
134              ready  0.018968      3         3    0   0.0189682  0.000000
183          analyzing -0.018934      2         0    2           0 -0.018934
688           insights  0.018931      4         4    0   0.0189308  0.000000
192              enjoy  0.018915      1         1    0    0.018915  0.000000
786          recommend  0.018881      5         5    0   0.0188808  0.000000
1174       Suggestions  0.018843      1         1    0   0.0188428  0.000000
259           provably  0.018800      1         1    0   0.0188003  0.000000
86                Good  0.018792     14        14    0    0.018792  0.000000
575            primary -0.018755      1         0    1           0 -0.018755
422               LSTM  0.018748      7         7    0   0.0187477  0.000000
639           transfer  0.018728      2         2    0   0.0187276  0.000000
185               with  0.018726     22        22    0   0.0187262  0.000000
406               copy  0.018722      2         2    0   0.0187218  0.000000
382            confirm  0.018607      1         1    0   0.0186065  0.000000
441               such -0.018604      4         0    4           0 -0.018604
569            improve  0.018585      4         4    0   0.0185854  0.000000
875               demo  0.018522      1         1    0   0.0185224  0.000000
41        presentation  0.018455      7         7    0    0.018455  0.000000
261      combinatorial -0.018431      1         0    1           0 -0.018431
817       standardized -0.018420      2         0    2           0 -0.018420
557              prior  0.018408      4         4    0   0.0184085  0.000000
